Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCA_014748265.1	Streptomyces sp. JV180	JV180	8006505	7244865	5813733	72.5
GCF_036322385.1	Streptomyces sp. JV181	JV181	7823597	355395	5555108	71
GCA_036322385.1	Streptomyces sp. JV181	JV181	7823597	355395	5555108	71
GCF_036322325.1	Streptomyces sp. JV184	JV184	9469869	206890	6713312	71
GCA_036322325.1	Streptomyces sp. JV184	JV184	9469869	206890	6713312	71
GCF_036322285.1	Streptomyces sp. JV185	JV185	8949402	210935	6323609	70.5
GCA_036322285.1	Streptomyces sp. JV185	JV185	8949402	210935	6323609	70.5
GCF_036322305.1	Streptomyces sp. JV186	JV186	7233227	223038	5311503	73.5
GCA_036322305.1	Streptomyces sp. JV186	JV186	7233227	223038	5311503	73.5
GCF_036322245.1	Streptomyces sp. JV190	JV190	8988417	343451	6391194	71
GCA_036322245.1	Streptomyces sp. JV190	JV190	8988417	343451	6391194	71
GCF_037150635.1	Streptomyces sp. JWR5-1	JWR5-1	5641271	189873	4214533	74.5
GCA_037150635.1	Streptomyces sp. JWR5-1	JWR5-1	5641271	189873	4214533	74.5
GCF_029125965.1	Streptomyces sp. KA12	KA12	7443908	4758187	5295681	71
GCA_029125965.1	Streptomyces sp. KA12	KA12	7443908	4758187	5295681	71
GCF_013363575.1	Streptomyces sp. KAI 90	KAI 90	8198194	365888	5947482	72.5
GCA_013363575.1	Streptomyces sp. KAI 90	KAI 90	8198194	365888	5947482	72.5
GCF_013363475.1	Streptomyces sp. KAI-26	KAI-26	7726528	367189	5569457	72
GCA_013363475.1	Streptomyces sp. KAI-26	KAI-26	7726528	367189	5569457	72
GCF_013363485.1	Streptomyces sp. KAI-27	KAI-27	7231715	36637	5316586	73.5
GCA_013363485.1	Streptomyces sp. KAI-27	KAI-27	7231715	36637	5316586	73.5
GCF_030056425.1	Streptomyces sp. KAU_LT	KAU_LT	7715201	2714645	5573475	72
GCA_030056425.1	Streptomyces sp. KAU_LT	KAU_LT	7715201	2714645	5573475	72
GCF_017825375.1	Streptomyces sp. KCTC 0041BP	KCTC 0041BP	7536885	6854191	5460601	72.5
GCA_017825375.1	Streptomyces sp. KCTC 0041BP	KCTC 0041BP	7536885	6854191	5460601	72.5
GCF_014748315.1	Streptomyces sp. KD18	KD18	7201718	181447	5317757	74
GCA_014748315.1	Streptomyces sp. KD18	KD18	7201718	181447	5317757	74
GCF_001014595.1	Streptomyces sp. KE1	KE1	6830045	120255	5015452	73.5
GCA_001014595.1	Streptomyces sp. KE1	KE1	6830045	120255	5015452	73.5
GCF_003259625.1	Streptomyces sp. KhCrAH-43	KhCrAH-43	8204965	465208	5893953	72
GCA_003259625.1	Streptomyces sp. KhCrAH-43	KhCrAH-43	8204965	465208	5893953	72
GCF_030766935.1	Streptomyces sp. KL109B	KL109B	9342629	636039	6637181	71
GCA_030766935.1	Streptomyces sp. KL109B	KL109B	9342629	636039	6637181	71
GCA_030767145.1	Streptomyces sp. KL111A	KL111A	6171868	3576	4428737	72
GCF_030766925.1	Streptomyces sp. KL115B	KL115B	8221841	346025	5884467	71.5
GCA_030766925.1	Streptomyces sp. KL115B	KL115B	8221841	346025	5884467	71.5
GCF_030766975.1	Streptomyces sp. KL116D	KL116D	12703362	141876	9096090	71.5
GCA_030766975.1	Streptomyces sp. KL116D	KL116D	12703362	141876	9096090	71.5
GCF_030766985.1	Streptomyces sp. KL118A	KL118A	9077867	67850	6495994	71.5
GCA_030766985.1	Streptomyces sp. KL118A	KL118A	9077867	67850	6495994	71.5
GCF_036961605.1	Streptomyces sp. KLMMK	KLMMK	8151741	18200	5865881	72
GCA_036961605.1	Streptomyces sp. KLMMK	KLMMK	8151741	18200	5865881	72
GCF_004337435.2	Streptomyces sp. KM273126	KM273126	10050388	7233106	7071185	70.5
GCA_004337435.2	Streptomyces sp. KM273126	KM273126	10050388	7233106	7071185	70.5
GCF_024701375.2	Streptomyces sp. KMM 9044	KMM 9044	7433909	7317619	5272909	71
GCA_024701375.2	Streptomyces sp. KMM 9044	KMM 9044	7433909	7317619	5272909	71
GCF_034057835.1	Streptomyces sp. KN37	KN37	9097371	8364061	6496410	71.5
GCA_034057835.1	Streptomyces sp. KN37	KN37	9097371	8364061	6496410	71.5
GCF_011317205.1	Streptomyces sp. KO7888	KO7888	8526273	479052	6153604	72
GCA_011317205.1	Streptomyces sp. KO7888	KO7888	8526273	479052	6153604	72
GCF_003950055.1	Streptomyces sp. KPB2	KPB2	8082236	8082236	5836559	72
GCA_003950055.1	Streptomyces sp. KPB2	KPB2	8082236	8082236	5836559	72
GCF_004364395.1	Streptomyces sp. KS 21	KS 21	8747642	8195050	6266755	71.5
GCA_004364395.1	Streptomyces sp. KS 21	KS 21	8747642	8195050	6266755	71.5
GCF_900102245.1	Streptomyces sp. KS_16	KS_16	8068758	7976697	5731103	71
GCA_900102245.1	Streptomyces sp. KS_16	KS_16	8068758	7976697	5731103	71
GCF_900105275.1	Streptomyces sp. KS_5	KS_5	10344370	9065883	7331573	71
GCA_900105275.1	Streptomyces sp. KS_5	KS_5	10344370	9065883	7331573	71
GCF_904440635.1	Streptomyces sp. KY70		7838151	7838151	5610669	71.5
GCA_904440635.1	Streptomyces sp. KY70		7838151	7838151	5610669	71.5
GCF_904440645.1	Streptomyces sp. KY75		7837660	7837660	5610540	71.5
GCA_904440645.1	Streptomyces sp. KY75		7837660	7837660	5610540	71.5
GCF_004151105.1	Streptomyces sp. L-9-10	L-9-10	8852466	183798	6254935	70.5
GCA_004151105.1	Streptomyces sp. L-9-10	L-9-10	8852466	183798	6254935	70.5
GCA_019976195.1	Streptomyces sp. L06	L06	6887193	6657428	5031410	73
GCF_004124325.1	Streptomyces sp. L2	L2	8073926	7778962	5788331	71.5
GCA_004124325.1	Streptomyces sp. L2	L2	8073926	7778962	5788331	71.5
GCF_002711365.1	Streptomyces sp. LamerLS-316	LamerLS-316	7866187	677279	5628881	71.5
GCA_002711365.1	Streptomyces sp. LamerLS-316	LamerLS-316	7866187	677279	5628881	71.5
GCF_900091975.1	Streptomyces sp. LamerLS-31b	LamerLS-31b	8516683	72318	6096165	71.5
GCA_900091975.1	Streptomyces sp. LamerLS-31b	LamerLS-31b	8516683	72318	6096165	71.5
GCF_000373625.1	Streptomyces sp. LaPpAH-108	LaPpAH-108	6850887	769204	4921122	72
GCA_000373625.1	Streptomyces sp. LaPpAH-108	LaPpAH-108	6850887	769204	4921122	72
GCF_000373525.1	Streptomyces sp. LaPpAH-165	LaPpAH-165	7564905	445788	5437894	72
GCA_000373525.1	Streptomyces sp. LaPpAH-165	LaPpAH-165	7564905	445788	5437894	72
GCF_900090135.1	Streptomyces sp. LaPpAH-199	LaPpAH-199	8044205	873732	5840589	72.5
GCA_900090135.1	Streptomyces sp. LaPpAH-199	LaPpAH-199	8044205	873732	5840589	72.5
GCF_000373225.1	Streptomyces sp. LaPpAH-202	LaPpAH-202	7004837	406114	5148334	73.5
GCA_000373225.1	Streptomyces sp. LaPpAH-202	LaPpAH-202	7004837	406114	5148334	73.5
GCF_000375725.1	Streptomyces sp. LaPpAH-95	LaPpAH-95	7564593	490467	5438814	72
GCA_000375725.1	Streptomyces sp. LaPpAH-95	LaPpAH-95	7564593	490467	5438814	72
GCF_030449695.1	Streptomyces sp. LB8	LB8	6227830	66033	4473641	72
GCA_030449695.1	Streptomyces sp. LB8	LB8	6227830	66033	4473641	72
GCF_029893585.1	Streptomyces sp. LBL	LBL	9348882	199853	6535099	70
GCA_029893585.1	Streptomyces sp. LBL	LBL	9348882	199853	6535099	70
GCF_017933255.1	Streptomyces sp. LBUM 1475	LBUM 1475	9741971	9741971	6973156	71.5
GCA_017933255.1	Streptomyces sp. LBUM 1475	LBUM 1475	9741971	9741971	6973156	71.5
GCF_017969125.1	Streptomyces sp. LBUM 1476	LBUM 1476	10939233	10346555	7720697	70.5
GCA_017969125.1	Streptomyces sp. LBUM 1476	LBUM 1476	10939233	10346555	7720697	70.5
GCF_017969045.1	Streptomyces sp. LBUM 1477	LBUM 1477	9765892	9566816	6988852	71.5
GCA_017969045.1	Streptomyces sp. LBUM 1477	LBUM 1477	9765892	9566816	6988852	71.5
GCA_017969065.1	Streptomyces sp. LBUM 1478	LBUM 1478	10149247	6028935	7240086	71.5
GCF_017969075.1	Streptomyces sp. LBUM 1479	LBUM 1479	10193546	9622051	7285847	71.5
GCA_017969075.1	Streptomyces sp. LBUM 1479	LBUM 1479	10193546	9622051	7285847	71.5
GCF_017933235.1	Streptomyces sp. LBUM 1480	LBUM 1480	9982980	9982980	7139174	71.5
GCA_017933235.1	Streptomyces sp. LBUM 1480	LBUM 1480	9982980	9982980	7139174	71.5
GCF_017969025.1	Streptomyces sp. LBUM 1481	LBUM 1481	9872570	9524365	7058740	71.5
GCA_017969025.1	Streptomyces sp. LBUM 1481	LBUM 1481	9872570	9524365	7058740	71.5
GCF_017933115.1	Streptomyces sp. LBUM 1482	LBUM 1482	9782455	9782455	6999897	71.5
GCA_017933115.1	Streptomyces sp. LBUM 1482	LBUM 1482	9782455	9782455	6999897	71.5
GCF_017969005.1	Streptomyces sp. LBUM 1483	LBUM 1483	9821301	9680583	7025454	71.5
GCA_017969005.1	Streptomyces sp. LBUM 1483	LBUM 1483	9821301	9680583	7025454	71.5
GCF_017968985.1	Streptomyces sp. LBUM 1484	LBUM 1484	9631705	9592027	6895898	71.5
GCA_017968985.1	Streptomyces sp. LBUM 1484	LBUM 1484	9631705	9592027	6895898	71.5
GCF_017968925.1	Streptomyces sp. LBUM 1485	LBUM 1485	9874192	6756417	7057974	71.5
GCA_017968925.1	Streptomyces sp. LBUM 1485	LBUM 1485	9874192	6756417	7057974	71.5
GCF_017968965.1	Streptomyces sp. LBUM 1486	LBUM 1486	10047105	9883601	7186223	71.5
GCA_017968965.1	Streptomyces sp. LBUM 1486	LBUM 1486	10047105	9883601	7186223	71.5
GCF_017968905.1	Streptomyces sp. LBUM 1487	LBUM 1487	9965204	9788832	7127028	71.5
GCA_017968905.1	Streptomyces sp. LBUM 1487	LBUM 1487	9965204	9788832	7127028	71.5
GCF_017968935.1	Streptomyces sp. LBUM 1488	LBUM 1488	9977688	9936277	7130917	71.5
GCA_017968935.1	Streptomyces sp. LBUM 1488	LBUM 1488	9977688	9936277	7130917	71.5
GCF_900091485.1	Streptomyces sp. LcepLS	LcepLS	7154322	55778	5253675	73.5
GCA_900091485.1	Streptomyces sp. LcepLS	LcepLS	7154322	55778	5253675	73.5
GCF_031157275.1	Streptomyces sp. LHD-70	LHD-70	8522606	367183	6041999	71
GCA_031157275.1	Streptomyces sp. LHD-70	LHD-70	8522606	367183	6041999	71
GCF_032105745.1	Streptomyces sp. Li-HN-5-11	Li-HN-5-11	9427803	9427803	6715582	71
GCA_032105745.1	Streptomyces sp. Li-HN-5-11	Li-HN-5-11	9427803	9427803	6715582	71
GCA_032463725.2	Streptomyces sp. Li-HN-5-13	Li-HN-5-13	1000000	1000000	716884	71.5
GCF_040815545.1	Streptomyces sp. LMG1-1-1.1	LMG1-1-1.1	8220951	155407	5946110	72.5
GCA_040815545.1	Streptomyces sp. LMG1-1-1.1	LMG1-1-1.1	8220951	155407	5946110	72.5
GCF_038405135.1	Streptomyces sp. LNU-CPARS28	LNU-CPARS28	9298433	63533	6718853	72.5
GCA_038405135.1	Streptomyces sp. LNU-CPARS28	LNU-CPARS28	9298433	63533	6718853	72.5
GCF_004795155.1	Streptomyces sp. LRa12	LRa12	8304237	72620	5999821	72.5
GCA_004795155.1	Streptomyces sp. LRa12	LRa12	8304237	72620	5999821	72.5
GCF_023273835.1	Streptomyces sp. LRE541	LRE541	9990036	9966248	7077299	71
GCA_023273835.1	Streptomyces sp. LRE541	LRE541	9990036	9966248	7077299	71
GCF_020103755.1	Streptomyces sp. LS1784	LS1784	9558926	13190	6933985	72.5
GCA_020103755.1	Streptomyces sp. LS1784	LS1784	9558926	13190	6933985	72.5
GCF_001746365.1	Streptomyces sp. LUP30	LUP30	9184130	137390	6578501	71.5
GCA_001746365.1	Streptomyces sp. LUP30	LUP30	9184130	137390	6578501	71.5
GCF_001746295.1	Streptomyces sp. LUP47B	LUP47b	10998901	459737	7729912	70.5
GCA_001746295.1	Streptomyces sp. LUP47B	LUP47b	10998901	459737	7729912	70.5
GCF_029541745.1	Streptomyces sp. LX-29	LX-29	8228343	8228343	5971959	72.5
GCA_029541745.1	Streptomyces sp. LX-29	LX-29	8228343	8228343	5971959	72.5
GCF_000800535.1	Streptomyces sp. M10	M10	7207169	32114	5261872	73.5
GCA_000800535.1	Streptomyces sp. M10	M10	7207169	32114	5261872	73.5
GCA_038070475.1	Streptomyces sp. M10(2022)	M10(2022)	8629611	8301867	5972686	69
GCF_001970135.1	Streptomyces sp. M1013	M1013	8448284	286231	6087665	72
GCA_001970135.1	Streptomyces sp. M1013	M1013	8448284	286231	6087665	72
GCA_038070365.1	Streptomyces sp. M19	M19	9122748	9059090	6624560	72.5
GCF_004104505.1	Streptomyces sp. M2	M2	8718751	8718751	6163103	70.5
GCA_004104505.1	Streptomyces sp. M2	M2	8718751	8718751	6163103	70.5
GCF_016757295.1	Streptomyces sp. M2CJ-2	M2CJ-2	8407678	99471	5971731	71
GCA_016757295.1	Streptomyces sp. M2CJ-2	M2CJ-2	8407678	99471	5971731	71
GCF_004125315.1	Streptomyces sp. M3	M3	8304843	7588914	5930188	71.5
GCA_004125315.1	Streptomyces sp. M3	M3	8304843	7588914	5930188	71.5
GCF_002078175.1	Streptomyces sp. M41(2017)	M41	9023708	5868367	6440904	71.5
GCA_002078175.1	Streptomyces sp. M41(2017)	M41	9023708	5868367	6440904	71.5
GCF_017311125.1	Streptomyces sp. M54	M54	7958870	7767664	5775836	72.5
GCA_017311125.1	Streptomyces sp. M54	M54	7958870	7767664	5775836	72.5
GCF_002812405.1	Streptomyces sp. M56	M56	11742376	11742376	8335798	71
GCA_002812405.1	Streptomyces sp. M56	M56	11742376	11742376	8335798	71
GCF_003363195.1	Streptomyces sp. M7	M7	7774362	503737	5591361	72
GCA_003363195.1	Streptomyces sp. M7	M7	7774362	503737	5591361	72
GCF_028473745.1	Streptomyces sp. M92	M92	7790858	7680776	5608679	72
GCA_028473745.1	Streptomyces sp. M92	M92	7790858	7680776	5608679	72
GCF_030403535.1	Streptomyces sp. MA15	MA15	7818588	180746	5684194	72.5
GCA_030403535.1	Streptomyces sp. MA15	MA15	7818588	180746	5684194	72.5
GCF_030403545.1	Streptomyces sp. MA25(2023)	MA25(2023)	8199704	282815	5904172	72
GCA_030403545.1	Streptomyces sp. MA25(2023)	MA25(2023)	8199704	282815	5904172	72
GCF_900290235.1	Streptomyces sp. MA5143a		9813744	142982	7015265	71.5
GCA_900290235.1	Streptomyces sp. MA5143a		9813744	142982	7015265	71.5
GCF_029894405.1	Streptomyces sp. MAA16	MAA16	8996667	454517	6511146	72.5
GCA_029894405.1	Streptomyces sp. MAA16	MAA16	8996667	454517	6511146	72.5
GCF_041402685.1	Streptomyces sp. MAD19A	MAD19A	7515158	211240	5444914	72.5
GCA_041402685.1	Streptomyces sp. MAD19A	MAD19A	7515158	211240	5444914	72.5
GCF_024213005.1	Streptomyces sp. MAR25Y5	MAR25Y5	8045428	381401	5804450	72
GCA_024213005.1	Streptomyces sp. MAR25Y5	MAR25Y5	8045428	381401	5804450	72
GCF_033794505.1	Streptomyces sp. MB09-01	MB09-01	9180705	28051	6590525	72
GCA_033794505.1	Streptomyces sp. MB09-01	MB09-01	9180705	28051	6590525	72
GCF_033794485.1	Streptomyces sp. MB09-02B	MB09-02B	10058119	18923	7124794	71
GCA_033794485.1	Streptomyces sp. MB09-02B	MB09-02B	10058119	18923	7124794	71
GCA_000932185.1	Streptomyces sp. MBRL 10	MBRL 10	4294913	4435	3061734	71.5
GCA_000932205.1	Streptomyces sp. MBRL 601	MBRL 601	4508621	4572	3239355	72
GCF_011751035.2	Streptomyces sp. MBT27	MBT27	8530179	8400223	6070166	71
GCA_011751035.2	Streptomyces sp. MBT27	MBT27	8530179	8400223	6070166	71
GCF_000972435.1	Streptomyces sp. MBT28	MBT28	8003530	23204	5795985	72.5
GCA_000972435.1	Streptomyces sp. MBT28	MBT28	8003530	23204	5795985	72.5
GCF_016612855.1	Streptomyces sp. MBT33	MBT33	9987665	41669	7109652	71
GCA_016612855.1	Streptomyces sp. MBT33	MBT33	9987665	41669	7109652	71
GCF_021044745.1	Streptomyces sp. MBT42	MBT42	8968071	4710690	6490511	72.5
GCA_021044745.1	Streptomyces sp. MBT42	MBT42	8968071	4710690	6490511	72.5
GCF_016612825.1	Streptomyces sp. MBT49	MBT49	9253010	24257	6661722	72
GCA_016612825.1	Streptomyces sp. MBT49	MBT49	9253010	24257	6661722	72
GCF_016612755.1	Streptomyces sp. MBT51	MBT51	7531345	41187	5404484	72
GCA_016612755.1	Streptomyces sp. MBT51	MBT51	7531345	41187	5404484	72
GCF_016654115.1	Streptomyces sp. MBT53	MBT53	11298036	43101	7930203	70
GCA_016654115.1	Streptomyces sp. MBT53	MBT53	11298036	43101	7930203	70
GCF_016612725.1	Streptomyces sp. MBT54	MBT54	8118979	30984	5797384	71.5
GCA_016612725.1	Streptomyces sp. MBT54	MBT54	8118979	30984	5797384	71.5
GCF_016654055.1	Streptomyces sp. MBT55	MBT55	7980612	26144	5709105	71.5
GCA_016654055.1	Streptomyces sp. MBT55	MBT55	7980612	26144	5709105	71.5
GCF_016612705.1	Streptomyces sp. MBT56	MBT56	8014560	27955	5721038	71.5
GCA_016612705.1	Streptomyces sp. MBT56	MBT56	8014560	27955	5721038	71.5
GCA_016612735.1	Streptomyces sp. MBT57	MBT57	8135009	4255	5771869	71
GCF_016653995.1	Streptomyces sp. MBT58	MBT58	8090418	27814	5764017	71
GCA_016653995.1	Streptomyces sp. MBT58	MBT58	8090418	27814	5764017	71
GCF_016654065.1	Streptomyces sp. MBT59	MBT59	7559527	25060	5416936	71.5
GCA_016654065.1	Streptomyces sp. MBT59	MBT59	7559527	25060	5416936	71.5
GCF_016612665.1	Streptomyces sp. MBT60	MBT60	7531167	26977	5393393	71.5
GCA_016612665.1	Streptomyces sp. MBT60	MBT60	7531167	26977	5393393	71.5
GCF_016612645.1	Streptomyces sp. MBT61	MBT61	7585461	25388	5435525	71.5
GCA_016612645.1	Streptomyces sp. MBT61	MBT61	7585461	25388	5435525	71.5
GCF_016612625.1	Streptomyces sp. MBT62	MBT62	11208198	31686	7864657	70
GCA_016612625.1	Streptomyces sp. MBT62	MBT62	11208198	31686	7864657	70
GCF_016612545.1	Streptomyces sp. MBT65	MBT65	11250604	30177	7902053	70
GCA_016612545.1	Streptomyces sp. MBT65	MBT65	11250604	30177	7902053	70
GCF_016612575.1	Streptomyces sp. MBT67	MBT67	7710712	24967	5522217	71.5
GCA_016612575.1	Streptomyces sp. MBT67	MBT67	7710712	24967	5522217	71.5
GCF_016612655.1	Streptomyces sp. MBT70	MBT70	9145311	39329	6613490	72.5
GCA_016612655.1	Streptomyces sp. MBT70	MBT70	9145311	39329	6613490	72.5
GCF_016612605.1	Streptomyces sp. MBT72	MBT72	7474536	30897	5355744	71.5
GCA_016612605.1	Streptomyces sp. MBT72	MBT72	7474536	30897	5355744	71.5
GCF_019505165.1	Streptomyces sp. MBT84	MBT84	10344466	9591886	7232974	70
GCA_019505165.1	Streptomyces sp. MBT84	MBT84	10344466	9591886	7232974	70
GCF_016612805.1	Streptomyces sp. MBT97	MBT97	8641123	14743	6230907	72
GCA_016612805.1	Streptomyces sp. MBT97	MBT97	8641123	14743	6230907	72
GCF_016612775.1	Streptomyces sp. MBT98	MBT98	8107023	24564	5792654	71.5
GCA_016612775.1	Streptomyces sp. MBT98	MBT98	8107023	24564	5792654	71.5
GCF_015770475.1	Streptomyces sp. MC1	MC1	10167114	342339	7297835	72
GCA_015770475.1	Streptomyces sp. MC1	MC1	10167114	342339	7297835	72
GCF_023544705.1	Streptomyces sp. MCA2	MCA2	9318759	131274	6602509	71
GCA_023544705.1	Streptomyces sp. MCA2	MCA2	9318759	131274	6602509	71
GCF_018619235.1	Streptomyces sp. McG2	McG2	6911121	8953	5014849	72.5
GCA_018619235.1	Streptomyces sp. McG2	McG2	6911121	8953	5014849	72.5
GCF_018619185.1	Streptomyces sp. McG3	McG3	8717509	23710	6240473	71.5
GCA_018619185.1	Streptomyces sp. McG3	McG3	8717509	23710	6240473	71.5
GCF_018619195.1	Streptomyces sp. McG5	McG5	7018127	11823	5139694	73
GCA_018619195.1	Streptomyces sp. McG5	McG5	7018127	11823	5139694	73
GCF_018619165.1	Streptomyces sp. McG6	McG6	6873309	7331	5028936	73
GCA_018619165.1	Streptomyces sp. McG6	McG6	6873309	7331	5028936	73
GCF_018619135.1	Streptomyces sp. McG7	McG7	7138053	25987	5155529	72
GCA_018619135.1	Streptomyces sp. McG7	McG7	7138053	25987	5155529	72
GCF_018619155.1	Streptomyces sp. McG8	McG8	7299494	18334	5262173	72
GCA_018619155.1	Streptomyces sp. McG8	McG8	7299494	18334	5262173	72
GCF_033366815.1	Streptomyces sp. MCL20-2	MCL20-2	7447733	4849372	5324534	71.5
GCA_033366815.1	Streptomyces sp. MCL20-2	MCL20-2	7447733	4849372	5324534	71.5
GCF_033794405.1	Streptomyces sp. MD20-1-1	MD20-1-1	7356191	177368	5307775	72
GCA_033794405.1	Streptomyces sp. MD20-1-1	MD20-1-1	7356191	177368	5307775	72
GCF_033794325.1	Streptomyces sp. ME01-18a	ME01-18a	8115710	361686	5769452	71
GCA_033794325.1	Streptomyces sp. ME01-18a	ME01-18a	8115710	361686	5769452	71
GCF_033794285.1	Streptomyces sp. ME01-18h	ME01-18h	8677061	215048	6262839	72
GCA_033794285.1	Streptomyces sp. ME01-18h	ME01-18h	8677061	215048	6262839	72
GCF_033794255.1	Streptomyces sp. ME02-6977A	ME02-6977A	8854189	31378	6378610	72
GCA_033794255.1	Streptomyces sp. ME02-6977A	ME02-6977A	8854189	31378	6378610	72
GCF_033794215.1	Streptomyces sp. ME02-6978.2a	ME02-6978.2a	7380825	159015	5376496	73
GCA_033794215.1	Streptomyces sp. ME02-6978.2a	ME02-6978.2a	7380825	159015	5376496	73
GCF_033794185.1	Streptomyces sp. ME02-6978a	ME02-6978a	7437695	120063	5417747	73
GCA_033794185.1	Streptomyces sp. ME02-6978a	ME02-6978a	7437695	120063	5417747	73
GCF_033794165.1	Streptomyces sp. ME02-6979-3A	ME02-6979-3A	7699836	43499	5495628	71.5
GCA_033794165.1	Streptomyces sp. ME02-6979-3A	ME02-6979-3A	7699836	43499	5495628	71.5
GCF_033794145.1	Streptomyces sp. ME02-6979.5a	ME02-6979.5a	8576468	475865	6154536	72
GCA_033794145.1	Streptomyces sp. ME02-6979.5a	ME02-6979.5a	8576468	475865	6154536	72
GCF_033794085.1	Streptomyces sp. ME02-6979A	ME02-6979A	8965325	214820	6466354	72
GCA_033794085.1	Streptomyces sp. ME02-6979A	ME02-6979A	8965325	214820	6466354	72
GCF_033794105.1	Streptomyces sp. ME02-6985-2c	ME02-6985-2c	9279314	183070	6671110	72
GCA_033794105.1	Streptomyces sp. ME02-6985-2c	ME02-6985-2c	9279314	183070	6671110	72
GCF_033794065.1	Streptomyces sp. ME02-6987-2C	ME02-6987-2C	9264994	24679	6655402	72
GCA_033794065.1	Streptomyces sp. ME02-6987-2C	ME02-6987-2C	9264994	24679	6655402	72
GCF_033794025.1	Streptomyces sp. ME02-6991-2A	ME02-6991-2A	8071399	525096	5774242	71.5
GCA_033794025.1	Streptomyces sp. ME02-6991-2A	ME02-6991-2A	8071399	525096	5774242	71.5
GCF_033793995.1	Streptomyces sp. ME02-7008A	ME02-7008A	8218461	720253	5820260	71
GCA_033793995.1	Streptomyces sp. ME02-7008A	ME02-7008A	8218461	720253	5820260	71
GCF_033793985.1	Streptomyces sp. ME02-7008A-1	ME02-7008A-1	8220495	720253	5821557	71
GCA_033793985.1	Streptomyces sp. ME02-7008A-1	ME02-7008A-1	8220495	720253	5821557	71
GCF_033793965.1	Streptomyces sp. ME02-8801-2C	ME02-8801-2C	10069586	282821	7047223	70
GCA_033793965.1	Streptomyces sp. ME02-8801-2C	ME02-8801-2C	10069586	282821	7047223	70
GCF_033793905.1	Streptomyces sp. ME03-5684b	ME03-5684b	8803060	233352	6351381	72
GCA_033793905.1	Streptomyces sp. ME03-5684b	ME03-5684b	8803060	233352	6351381	72
GCF_033793935.1	Streptomyces sp. ME08-AFT2	ME08-AFT2	9193011	236106	6552175	71.5
GCA_033793935.1	Streptomyces sp. ME08-AFT2	ME08-AFT2	9193011	236106	6552175	71.5
GCF_008042115.1	Streptomyces sp. me109	me109	9853771	32881	7039536	71.5
GCA_008042115.1	Streptomyces sp. me109	me109	9853771	32881	7039536	71.5
GCF_033793795.1	Streptomyces sp. ME12-02E	ME12-02E	7437582	113608	5417821	73
GCA_033793795.1	Streptomyces sp. ME12-02E	ME12-02E	7437582	113608	5417821	73
GCF_033793825.1	Streptomyces sp. ME18-1-4	ME18-1-4	10494197	26285	7407394	70.5
GCA_033793825.1	Streptomyces sp. ME18-1-4	ME18-1-4	10494197	26285	7407394	70.5
GCF_033793745.1	Streptomyces sp. ME19-01-6	ME19-01-6	11763450	234373	8348973	71
GCA_033793745.1	Streptomyces sp. ME19-01-6	ME19-01-6	11763450	234373	8348973	71
GCF_004115015.1	Streptomyces sp. MG	MG	8732134	8728723	6172449	70.5
GCA_004115015.1	Streptomyces sp. MG	MG	8732134	8728723	6172449	70.5
GCF_000154885.1	Streptomyces sp. Mg1	Mg1	7260368	25079	5057350	71
GCF_000412265.2	Streptomyces sp. Mg1	Mg1	8716193	7868178	6287383	72
GCA_000154885.1	Streptomyces sp. Mg1	Mg1	7260368	25079	5057350	71
GCA_000412265.2	Streptomyces sp. Mg1	Mg1	8716193	7868178	6287383	72
GCF_021442415.2	Streptomyces sp. MH191	MH191	7193104	7102631	5231524	72.5
GCA_021442415.2	Streptomyces sp. MH191	MH191	7193104	7102631	5231524	72.5
GCF_021442405.1	Streptomyces sp. MH192	MH192	7096221	47382	5161262	72.5
GCA_021442405.1	Streptomyces sp. MH192	MH192	7096221	47382	5161262	72.5
GCF_002939385.1	Streptomyces sp. MH60	MH60	8138908	78705	5868767	72
GCA_002939385.1	Streptomyces sp. MH60	MH60	8138908	78705	5868767	72
GCF_033793635.1	Streptomyces sp. MI02-2A	MI02-2A	9741610	302563	6834850	70
GCA_033793635.1	Streptomyces sp. MI02-2A	MI02-2A	9741610	302563	6834850	70
GCF_033793585.1	Streptomyces sp. MI02-7b	MI02-7B	9063347	265619	6531105	72
GCA_033793585.1	Streptomyces sp. MI02-7b	MI02-7B	9063347	265619	6531105	72
GCF_041020245.1	Streptomyces sp. Midd1	Midd1	9254293	5044960	6596918	71.5
GCA_041020245.1	Streptomyces sp. Midd1	Midd1	9254293	5044960	6596918	71.5
GCF_001905425.1	Streptomyces sp. MJM1172	MJM1172	8048201	150594	5826166	72.5
GCA_001905425.1	Streptomyces sp. MJM1172	MJM1172	8048201	150594	5826166	72.5
GCF_001625365.1	Streptomyces sp. MJM8645	MJM8645	9234445	7349619	6724499	73
GCA_001625365.1	Streptomyces sp. MJM8645	MJM8645	9234445	7349619	6724499	73
GCF_029892265.1	Streptomyces sp. MJP52	MJP52	7270365	6691095	5336000	73.5
GCA_029892265.1	Streptomyces sp. MJP52	MJP52	7270365	6691095	5336000	73.5
GCF_018035285.1	Streptomyces sp. MK37H	MK37H	10037313	18372	7141606	71
GCA_018035285.1	Streptomyces sp. MK37H	MK37H	10037313	18372	7141606	71
